00110111 00110010 00111000 00110000 00110001 00110000 00110001 00110011  ; Rua Doutor João Teixeira
00110111 00110010 00111000 00110000 00110001 00110000 00110001 00110111  ; Rua Artur Roriz
00110111 00110010 00111000 00110000 00110001 00110000 00110010 00110000  ; Avenida Santa Maria
00110111 00110010 00111000 00110000 00110001 00110000 00110010 00110011  ; Beco Padre Rosa
00110111 00110010 00111000 00110000 00110001 00110000 00110010 00110111  ; Travessa Padre Rosa
00110111 00110010 00111000 00110000 00110001 00110000 00110011 00110000  ; Rua Alberto de Paiva
00110111 00110010 00111000 00110000 00110001 00110000 00110011 00110101  ; Travessa Ulisses Braz Caixeta
00110111 00110010 00111000 00110000 00110001 00110000 00110100 00110000  ; Avenida Aeroporto
00110111 00110010 00111000 00110000 00110001 00110000 00110100 00110101  ; Rua Benício Olegário de Almeida
00110111 00110010 00111000 00110000 00110001 00110000 00110101 00110000  ; Rua Antônio Curriola
00110111 00110010 00111000 00110000 00110001 00110000 00110110 00110000  ; Rua Doutor Ézio Carneiro
00110111 00110010 00111000 00110000 00110001 00110000 00110111 00110000  ; Travessa Alberto de Paiva
00110111 00110010 00111000 00110000 00110001 00110000 00111000 00110000  ; Praça da Feira
00110111 00110010 00111000 00110000 00110001 00110000 00111001 00110000  ; Terminal Rodoviário
00110111 00110010 00111000 00110000 00110001 00110001 00110000 00110000  ; Rua Senador Herculano Santos
00110111 00110010 00111000 00110000 00110001 00110001 00110001 00110000  ; Rua Professor Moisés
00110111 00110010 00111000 00110000 00110001 00110001 00110001 00110101  ; Rua Trajano Meireles
00110111 00110010 00111000 00110000 00110001 00110001 00110010 00110000  ; Rua Itiberê
00110111 00110010 00111000 00110000 00110001 00110001 00110010 00110101  ; Rua Doutor Delgado
00110111 00110010 00111000 00110000 00110001 00110001 00110011 00110000  ; Alameda Corumbá
00110111 00110010 00111000 00110000 00110001 00110001 00110100 00110000  ; Rua Cônego Ramiro
00110111 00110010 00111000 00110000 00110001 00110001 00110100 00110011  ; Rua Padre Rosa
00110111 00110010 00111000 00110000 00110001 00110001 00110100 00110111  ; Rua Benjamin Roriz
00110111 00110010 00111000 00110000 00110001 00110001 00110101 00110000  ; Avenida Central
00110111 00110010 00111000 00110000 00110001 00110011 00110010 00110000  ; Avenida Brasfrigo
00110111 00110010 00111000 00110000 00110001 00110011 00110110 00110000  ; Rodovia Braluz
00110111 00110010 00111000 00110000 00110001 00110101 00110000 00110101  ; Rodovia GO010
00110111 00110010 00111000 00110000 00110001 00110101 00110001 00110000  ; Avenida Central
00110111 00110010 00111000 00110000 00110001 00110101 00110001 00110101  ; Praça Osvaldo de Lima
00110111 00110010 00111000 00110000 00110001 00110101 00110010 00110000  ; Rua Santana
00110111 00110010 00111000 00110000 00110001 00110101 00110011 00110000  ; Travessa Plácido de Paiva
00110111 00110010 00111000 00110000 00110001 00110101 00110100 00110000  ; Rua Professor Arthur Ribeiro
00110111 00110010 00111000 00110000 00110001 00110101 00110101 00110000  ; Rua Epaminondas
00110111 00110010 00111000 00110000 00110001 00110101 00110110 00110000  ; Rua João Gonçalves
00110111 00110010 00111000 00110000 00110001 00110101 00110111 00110000  ; Rua Eliseu de Melo
00110111 00110010 00111000 00110000 00110001 00110101 00111000 00110000  ; Rua Professor Arthur Roriz
00110111 00110010 00111000 00110000 00110001 00110101 00111001 00110000  ; Rua José Carneiro
00110111 00110010 00111000 00110000 00110001 00110110 00110000 00110000  ; Travessa Santa Maria
00110111 00110010 00111000 00110000 00110001 00110110 00110001 00110000  ; Avenida Santa Maria
00110111 00110010 00111000 00110000 00110001 00110110 00110010 00110000  ; Rua Isaac Gonçalves
00110111 00110010 00111000 00110000 00110001 00110110 00110011 00110000  ; Rua Epaminondas Roriz
00110111 00110010 00111000 00110000 00110001 00110110 00110100 00110000  ; Rua Domingo Palestino
00110111 00110010 00111000 00110000 00110001 00110110 00110101 00110000  ; Rua Artur Ribeiro
00110111 00110010 00111000 00110000 00110001 00110110 00110110 00110000  ; Rua DP
00110111 00110010 00111000 00110000 00110001 00110110 00110111 00110000  ; Rua Plácido de Paiva
00110111 00110010 00111000 00110000 00110001 00110110 00111000 00110000  ; Rua Professor Alarico
00110111 00110010 00111000 00110000 00110001 00110110 00111001 00110000  ; Rua Benedito Matos
00110111 00110010 00111000 00110000 00110001 00110111 00110000 00110000  ; Alameda Paiva
00110111 00110010 00111000 00110000 00110001 00110111 00110000 00110101  ; Travessa Bertoldo
00110111 00110010 00111000 00110000 00110001 00110111 00110001 00110000  ; Rua Manoel Roriz
00110111 00110010 00111000 00110000 00110001 00110111 00110010 00110000  ; Rua Gabriel Machado
00110111 00110010 00111000 00110000 00110001 00110111 00110011 00110000  ; Alameda Santa Maria
00110111 00110010 00111000 00110000 00110001 00110111 00110011 00110101  ; Avenida São Bartolomeu
00110111 00110010 00111000 00110000 00110001 00110111 00110100 00110000  ; Travessa Paiva
00110111 00110010 00111000 00110000 00110001 00110111 00110101 00110000  ; Rua Olímpio Leite
00110111 00110010 00111000 00110000 00110001 00110111 00110110 00110000  ; Travessa Olímpio Leite
00110111 00110010 00111000 00110000 00110001 00110111 00110111 00110000  ; Rua José Corumbista
00110111 00110010 00111000 00110000 00110001 00110111 00111000 00110000  ; Rua Benedito Machado
00110111 00110010 00111000 00110000 00110001 00110111 00111001 00110000  ; Travessa José Corumbista
00110111 00110010 00111000 00110000 00110001 00111000 00110000 00110000  ; Rua Maria Lourença
00110111 00110010 00111000 00110000 00110001 00111000 00110001 00110000  ; Rua Delfino Curado
00110111 00110010 00111000 00110000 00110001 00111000 00110010 00110000  ; Rua Professor Moisés
00110111 00110010 00111000 00110000 00110001 00111000 00110011 00110000  ; Rua Padre João Lima
00110111 00110010 00111000 00110000 00110001 00111000 00110100 00110000  ; Rua José de Campos
00110111 00110010 00111000 00110000 00110001 00111000 00110101 00110000  ; Rua Padre Tito
00110111 00110010 00111000 00110000 00110001 00111000 00110110 00110000  ; Rua Francisco Roriz
00110111 00110010 00111000 00110000 00110001 00111000 00110111 00110000  ; Avenida Aeroporto
00110111 00110010 00111000 00110000 00110001 00111000 00110111 00110101  ; Avenida Íris Luiz Solano
00110111 00110010 00111000 00110000 00110001 00111000 00111000 00110000  ; Quadra A
00110111 00110010 00111000 00110000 00110001 00111000 00111000 00110010  ; Quadra B
00110111 00110010 00111000 00110000 00110001 00111000 00111000 00110100  ; Quadra C
00110111 00110010 00111000 00110000 00110001 00111000 00111000 00110110  ; Quadra D
00110111 00110010 00111000 00110000 00110001 00111000 00111000 00111000  ; Quadra E
00110111 00110010 00111000 00110000 00110001 00111000 00111001 00110000  ; Quadra F
00110111 00110010 00111000 00110000 00110001 00111000 00111001 00110010  ; Quadra G
00110111 00110010 00111000 00110000 00110001 00111000 00111001 00110100  ; Quadra H
